hip_angle_l,hip_flexion_l_moment
-15.21513696,-0.21767926
-14.62062045,-0.19442541
-14.024515,-0.171984793
-13.42444097,-0.150785284
-12.82439555,-0.130716053
-12.22432151,-0.111947323
-11.63610931,-0.093942042
-11.05331102,-0.077161005
-10.47054053,-0.061977753
-9.888157149,-0.048393592
-9.310291325,-0.036085729
-8.732397945,-0.02540259
-8.154532121,-0.016308387
-7.614172916,-0.009382939
-7.119025958,-0.004689612
-6.62390261,-0.001389925
-6.128755652,0.000602144
-5.706118882,0.0010492
-5.293532534,0.000338354
-4.880965859,-0.001374953
-4.478342523,-0.003819481
-4.101923654,-0.006617513
-3.725486836,-0.010037842
-3.349067967,-0.013931653
-3.22695755,-0.016923885
-3.22695755,-0.01946915
-3.22695755,-0.021959021
-3.22695755,-0.024187528
-2.979157496,-0.026468939
-2.346427077,-0.028866131
-1.713666486,-0.030305817
-1.080936067,-0.03053802
-0.718638864,-0.030110638
-0.439627667,-0.028220594
-0.160603165,-0.02438164
0.102787862,-0.018066516
0.284893362,-0.007801512
0.466990179,0.005008886
0.649095679,0.020497195
0.800541353,0.038263641
0.927931524,0.058448174
1.05532777,0.081409276
1.182717941,0.107060581
1.304304138,0.13591984
1.425626152,0.167123848
1.546953951,0.200351698
1.661222839,0.235337282
1.762647763,0.271734552
1.864067851,0.308896761
1.965492775,0.346295383
2.026125929,0.383261512
2.068505946,0.419255809
2.110883942,0.45371458
2.149846802,0.485982203
2.149846802,0.514973543
2.149846802,0.540670727
2.149846802,0.562563535
2.126858306,0.580297404
2.078299508,0.5935144
2.029738394,0.601834244
1.981179596,0.605079906
1.890670077,0.603138125
1.794040239,0.596091122
1.697405794,0.584103794
1.591312314,0.56750906
1.457388732,0.546805097
1.323458765,0.522284151
1.189535184,0.4945072
0.983655341,0.463067961
0.74125086,0.429162889
0.498834819,0.394038881
0.24312784,0.358451364
-0.234317663,0.323453546
-0.7117404,0.289400778
-1.189185903,0.256947569
-1.47840332,0.227467098
-1.47840332,0.201889104
-1.47840332,0.179426638
-1.47840332,0.160392449
-2.324567104,0.142823582
-3.506749961,0.128116829
-4.688876448,0.117112447
-5.860875955,0.109704741
-6.950793884,0.105816037
-8.040763786,0.104969176
-9.130681714,0.106781279
-10.24342564,0.111988322
-11.38070983,0.12020334
-12.51804826,0.129650688
-13.65538668,0.139818788
-14.86740121,0.150569325
-16.09085671,0.161115402
-17.31425388,0.170960234
-18.47545332,0.179993778
-19.45850222,0.188406557
-20.441598,0.195114578
-21.4246469,0.19991157
-22.35914808,0.201186993
-23.26825973,0.199578251
-24.17741472,0.195853459
-25.07824414,0.190177236
-25.82491571,0.184458409
-26.57155168,0.176981785
-27.31822325,0.167966057
-27.98661807,0.157400571
-28.55956033,0.145510909
-29.13247528,0.1329259
-29.70541754,0.11996064
-30.20675691,0.10760802
-30.69306157,0.095645919
-31.17934305,0.084229069
-31.66289869,0.073699111
-32.12963119,0.064641825
-32.59638594,0.056862518
-33.0631407,0.050531954
-33.55905037,0.045371518
-34.08036145,0.041511819
-34.60164766,0.039331926
-35.12295874,0.038807549
-35.60484855,0.039264049
-36.08375232,0.041128228
-36.56263326,0.044271996
-37.00964754,0.048224873
-37.38993574,0.0524544
-37.77024207,0.057200608
-38.15053027,0.062149225
-38.33180223,0.068778294
-38.42882271,0.075703869
-38.52584781,0.081820719
-38.61393842,0.086758437
-38.62000805,0.089871251
-38.62607739,0.091256802
-38.63214702,0.090672973
-38.63218726,0.08797764
-38.62612582,0.083027256
-38.62006467,0.0756795
-38.61400323,0.065908764
-38.58633007,0.053103284
-38.55601136,0.037932033
-38.52569265,0.020634108
-38.46929217,0.001280731
-38.34789503,-0.020078278
-38.22650367,-0.042776944
-38.10510652,-0.066477437
-37.96447814,-0.090909774
-37.81501373,-0.115659825
-37.66555646,-0.140325012
-37.51609205,-0.164559997
-37.34310005,-0.187959594
-37.16698786,-0.210324912
-36.99088406,-0.231441823
-36.79753226,-0.251014963
-36.560728,-0.26874652
-36.32391245,-0.284921205
-36.08710819,-0.299570167
-35.8049011,-0.312464758
-35.50177579,-0.323937222
-35.19863603,-0.334346872
-34.89501985,-0.343963289
-34.58568219,-0.353256124
-34.27635928,-0.362316652
-33.96702162,-0.37144226
-33.61247254,-0.380716044
-33.20803931,-0.390368515
-32.80360608,-0.400824626
-32.39919214,-0.412231192
-31.99258886,-0.423128732
-31.5854645,-0.434672116
-31.17832072,-0.447163484
-30.8158932,-0.460674799
-30.70670942,-0.476054583
-30.59753085,-0.491675943
-30.48834707,-0.507175238
-30.45541786,-0.522072316
-30.48573523,-0.535953831
-30.51605116,-0.548455618
-30.54636853,-0.559170042
-30.60848679,-0.568515687
-30.67257252,-0.575451328
-30.73665519,-0.57970165
-30.80074091,-0.581130903
-30.8104155,-0.578710366
-30.8104155,-0.573324534
-30.8104155,-0.565320194
-30.79851683,-0.555037546
-30.74998964,-0.542981911
-30.70146013,-0.529336199
-30.65293293,-0.514564594
-30.52401336,-0.499938848
