hip_angle_l,hip_flexion_l_moment,hip_angle_l_normalized,hip_flexion_l_moment_normalized
-1.101290138,-0.025394134,0.86520004450808,0.5012572067097834
-0.814744281,-0.011941077,0.8710200987533597,0.5099976748815923
-0.572527505,0.004445013,0.8759397817325374,0.5206437383083212
-0.375762126,0.023876695,0.8799362980017399,0.5332685267148308
-0.178987365,0.046601432,0.883933004829443,0.5480328171256447
0.017778013,0.072601273,0.8879295210783342,0.5649249467533266
0.209476426,0.102399409,0.891823121823691,0.5842848334532221
0.400112718,0.135336185,0.8956951497503031,0.6056838985363481
0.5907581,0.171033523,0.8995673623045822,0.6288765042472515
0.767445038,0.209023931,0.9031560638630639,0.6535589204414324
0.870580438,0.248309045,0.9052508546546426,0.6790825087636174
0.973710922,0.289149476,0.9073455455969792,0.7056165885105821
1.076846323,0.331008695,0.9094403364088689,0.7328125761114882
1.129327318,0.373983461,0.9105062818074313,0.7607333360111853
1.141464599,0.417301375,0.910752803025884,0.7888770396010952
1.153601302,0.459753088,0.9109993125045356,0.8164579713042219
1.165738583,0.500660921,0.9112458337229883,0.8430358422159544
1.166284332,0.537420186,0.9112569184715781,0.8669183832437365
1.166284332,0.571205899,0.9112569184715781,0.8888690037709799
1.166284332,0.60148069,0.9112569184715781,0.9085385738280807
1.155665938,0.627969831,0.9110412474801187,0.9257486022854835
1.125348939,0.650420293,0.9104254766552273,0.9403346958814154
1.095030495,0.667834394,0.9098096764808334,0.9516486593568669
1.064713497,0.679872625,0.9091939056762531,0.9594699132845343
1.016932716,0.686414378,0.9082234266743465,0.9637200984940624
0.963196733,0.687262829,0.9071319911210366,0.9642713381833641
0.909458187,0.682376466,0.906040503510443,0.961096661953463
0.848098865,0.671832371,0.9047942297508694,0.9542461500773868
0.704730075,0.655458022,0.9018822555781627,0.9436077147932284
0.561354449,0.634065367,0.8989701425589508,0.9297088797449572
0.41798566,0.608120389,0.8960581684065551,0.9128523946778616
0.260753019,0.577759726,0.8928646045235198,0.8931270334736001
0.08487551,0.543483357,0.8892923433377485,0.8708576331217186
-0.091010386,0.506580561,0.8857199118029954,0.8468818398214478
-0.266887895,0.467814604,0.882147650617224,0.8216955484596988
-0.512810701,0.428182003,0.8771526941866677,0.7959461973935057
-0.773847603,0.388319111,0.8718507542264617,0.7700472259729386
-1.034896953,0.348963753,0.8665485614340005,0.7444780000349864
-1.345782452,0.310812732,0.8602341429070878,0.7196912333712818
-1.831364614,0.274431538,0.8503714474454667,0.6960543255510437
