time,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,knee_angle_l_moment,ankle_angle_l_moment,subtalar_angle_l_moment,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,knee_angle_r_moment,ankle_angle_r_moment,subtalar_angle_r_moment
85.695,-0.100170483435631,-0.193122271886586,0.072158192637429,-0.0796924204523886,0.00532663307899267,-0.00399187940913165,-0.243181796633443,-1.00809592744111,0.14683276409943,0.517197872011919,-1.0966953423917,0.163601278471205
85.7,-0.134193578078856,-0.176059063798933,0.0643649921384119,-0.101165169542471,0.00318411826717388,-0.0035731340096793,-0.21366423961978,-0.981291047146928,0.12980267072708,0.448964783929989,-1.12087412260136,0.164995744289769
85.705,-0.168278420816547,-0.157876999870326,0.056211714127575,-0.122353305019584,0.00131504665295905,-0.00318784226494933,-0.183050555171235,-0.952457044316656,0.113090881814341,0.380801702561855,-1.14346581012953,0.166171339735277
85.71,-0.201980205433775,-0.138822699246665,0.0478495979400241,-0.143018710598749,-0.000174657916412915,-0.00286372675392337,-0.151657150602196,-0.921434417903045,0.0968774490409389,0.313287278823446,-1.16409083016063,0.167096368765645
85.715,-0.234841934366973,-0.119145452016242,0.0394290005588452,-0.162939155377984,-0.00118359665477219,-0.00262801078819012,-0.119848560899761,-0.888083945016904,0.0813264245373662,0.246958613516187,-1.18242848895334,0.167756000733192
85.72,-0.266406032132992,-0.0990912583155921,0.031095892543685,-0.181913870954597,-0.00161900477024882,-0.00250614714236856,-0.0880292136254876,-0.85229769419761,0.0665837839456827,0.182304611431703,-1.19821830234848,0.16815088771159
85.725,-0.296226590576095,-0.0788973315337183,0.0229885232405445,-0.199768589084951,-0.00140106055263082,-0.00252049013118741,-0.0566338573836166,-0.814009136166554,0.0527757997944384,0.119760750857607,-1.21125870781483,0.168295097728702
85.73,-0.323881934770095,-0.0587872330027858,0.0152343425755304,-0.216359873158755,-0.000467286961262994,-0.0026889525287512,-0.0261167927316672,-0.773201942077253,0.0400078753228475,0.0597054140896451,-1.2214034264739,0.168213486607445
85.735,-0.348987163624268,-0.0389667886766973,0.00794726144857086,-0.231578586085631,0.00122307977315722,-0.00302369300172379,0.00305991286614199,-0.729917124390417,0.0283638394239231,0.0024578676157474,-1.22855583558903,0.16793864895044
85.74,-0.371206291781342,-0.0196209157950957,0.00122532477669938,-0.245352351786878,0.00368489546117246,-0.0035298826924757,0.0304389965026367,-0.684258253231169,0.0179056941397587,-0.0517220831949844,-1.2326617884721,0.167507600574658
85.745,-0.390263601196004,-0.000911459432881504,-0.00485113932705157,-0.257646887564751,0.00690324016596781,-0.0042046011101214,0.0555810778678528,-0.636394564073983,0.00867379703243427,-0.102632807639741,-1.23370137497682,0.166958350809666
85.75,-0.405953803700582,0.0170238945129616,-0.0102208436945499,-0.268466110234751,0.0108300380014705,-0.0050359113672992,0.0780779149240445,-0.586561853992901,0.000687451824858141,-0.150128041935181,-1.23168014961436,0.166326524005826
85.755,-0.418150621586681,0.0340716012495282,-0.0148423039858914,-0.277850949910663,0.0153813276613367,-0.00600216288149316,0.0975654643748841,-0.535061138471926,-0.00605412781719429,-0.194112734694186,-1.22662036439883,0.165642185728088
85.76,-0.42681341316797,0.0501411466718465,-0.0186940192600746,-0.285876841370187,0.0204353432583955,-0.00707156583803755,0.113736339488307,-0.482255106509197,-0.0115705242567851,-0.234537776698545,-1.2185527291407,0.16492702056882
85.765,-0.431991505469625,0.0651629008278495,-0.0217740696888844,-0.292649903412659,0.0258315548642379,-0.00820207594733271,0.126351236348121,-0.42856246883064,-0.0158985411245869,-0.271393891611702,-1.20750918332989,0.16419199519445
85.77,-0.433825947153972,0.0790850353427311,-0.0240991477372855,-0.298301860716728,0.0313708009360777,-0.00934162035255998,0.135248894423106,-0.374450344871576,-0.0190904024629631,-0.304704996010754,-1.19351710231786,0.163435621932092
85.775,-0.432548461471576,0.0918696471771788,-0.0257030566936957,-0.302983809325484,0.0368166204767023,-0.0104286860658071,0.140354170719115,-0.320424882003824,-0.0212117837981886,-0.334521353051292,-1.17659527863734,0.16264291479265
85.78,-0.428477460619102,0.103488269767031,-0.0266347270261582,-0.306858974671039,0.0418978614677808,-0.0113932812218566,0.141683839888433,-0.267020347874004,-0.0223397346674433,-0.360912843290397,-1.1567519203927,0.161785101527141
85.785,-0.422011077735227,0.113916985561292,-0.0269558160435116,-0.310094658367757,0.0463126043531447,-0.0121582670156174,0.139349785526235,-0.214786984516964,-0.0225605516877115,-0.383962658826177,-1.13398479690403,0.160820122810968
85.79,-0.413617278302142,0.123131379267097,-0.0267379692003719,-0.312853614961638,0.0497333959845988,-0.0126410447890763,0.133559319409705,-0.164277959721562,-0.0219676588491163,-0.403761694077021,-1.10828354192139,0.159693914147071
85.795,-0.403821225465049,0.131101586978818,-0.0260598316404063,-0.31528514031742,0.0518137416932301,-0.0127555687914054,0.124612453617114,-0.116035793606153,-0.0206595473478903,-0.420403860113304,-1.07963400178745,0.158342429195296
85.8,-0.393190189444389,0.137787701411726,-0.0250039058743756,-0.317516187111089,0.0521957525756211,-0.0124146411541069,0.112896052549593,-0.0705786721181414,-0.0187378209909736,-0.43398249193539,-1.04802439514666,0.156694326830392
85.805,-0.382316404847008,0.143135786718858,-0.0236533556095791,-0.319642847692397,0.0505187935668497,-0.0115324321595018,0.0988749045624043,-0.0283870799634877,-0.0163053851467248,-0.444587952328422,-1.01345293754746,0.154674210187605
85.81,-0.371798385882007,0.147074737405928,-0.0220888565821387,-0.321722558188704,0.0464289275619976,-0.0100271565312772,0.0830798724616913,0.0101088097447784,-0.0134648076751116,-0.452306465070627,-0.975936484095153,0.152206276008257
85.815,-0.362221302640893,0.149514184815208,-0.0203855928108638,-0.323767378147111,0.0395889041008242,-0.00782382585305452,0.0660934044154845,0.0445405643190139,-0.010316869713678,-0.457220137734325,-0.935519661866878,0.14921820824999
85.82,-0.3541370961524,0.150343612277184,-0.0186104911221287,-0.325738685612859,0.0296884004188631,-0.00485698892964034,0.0485328073245919,0.0746113432809694,-0.00695931324926642,-0.459408063751554,-0.892283906792738,0.145645132447004
85.825,-0.348045060657933,0.149432787695126,-0.0168197783213461,-0.327543597161186,0.0164541904735521,-0.00107336651271359,0.0310317983877603,0.100103821906639,-0.00348578179285581,-0.458948328689436,-0.846355792523182,0.141433437781461
85.83,-0.344373643911339,0.146633561995191,-0.0150569343276349,-0.329033375503449,-0.000340103763442022,0.00356571518611855,0.0142209519728874,0.120885892579045,1.50590748423104e-05,-0.455920690763596,-0.797914045967344,0.136544273198975
85.835,-0.343464206683116,0.141783016060484,-0.0133511013366513,-0.330004024093767,-0.0208650328060701,0.00908218598967042,-0.00129225794841594,0.136913918182818,0.00346024236202544,-0.450409664348183,-0.747194688663228,0.130956532933033
85.84,-0.345557438712384,0.134707870484431,-0.0117159940841968,-0.330199189755106,-0.0452274597328933,0.0154794762509509,-0.0149430607676452,0.148233389497912,0.00677308824912122,-0.442507710985503,-0.694493825567385,0.124669165957333
85.845,-0.350783049344934,0.12523000516062,-0.0101493400493504,-0.329315402774823,-0.0734641457094641,0.0227412224816164,-0.0262278501708856,0.154976924791215,0.00988369046126429,-0.432318237664998,-0.640167720906444,0.11770267311786
85.85,-0.359153238133609,0.113172873142932,-0.00863286149674785,-0.327009582281549,-0.105537069035793,0.0308304985164925,-0.0347207229797555,0.157359643403858,0.012729330811309,-0.419958118212559,-0.584629948777357,0.110099694229011
85.855,-0.370560306999783,0.0983685393703541,-0.00713279417828858,-0.32290862718831,-0.141330712976706,0.0396896195081681,-0.0400873632198462,0.155672044080859,0.0152548502036755,-0.405559490289767,-0.528345575336148,0.101924633558625
85.86,-0.384778606785924,0.0806650338727212,-0.00560092088245962,-0.316620804864205,-0.180651491777508,0.0492405463545496,-0.0420956284168578,0.150270619639918,0.0174129998198546,-0.389270635896728,-0.471822508105522,0.0932623232240523
85.865,-0.401470825417485,0.0599336849446696,-0.00397608243905559,-0.30774854738355,-0.223229408576823,0.0593858969743753,-0.040622326786989,0.141566537215729,0.0191647893921907,-0.371255823927742,-0.415600322900385,0.0842157766009402
85.87,-0.420198433375245,0.036076093909557,-0.00218611486944117,-0.29590217609058,-0.268721957456532,0.0700105493940565,-0.0356558439526854,0.13001280126003,0.0204798407891986,-0.35169407429997,-0.36023703648889,0.0749031339397631
85.875,-0.440435917816846,0.00903043167644695,-0.000150149707945784,-0.280714007202265,-0.316720198903826,0.080983801059646,-0.027294478477828,0.116090387657902,0.0213367451707938,-0.330776888314587,-0.306294420836684,0.0654539460079143
85.88,-0.461588273023594,-0.0212232214405391,0.00221879437918515,-0.261852251578581,-0.366756857424056,0.0921620300632969,-0.0157405651189243,0.100293885206449,0.0217234115806279,-0.308705072245214,-0.254322542576695,0.0560049752663234
85.885,-0.483011083432699,-0.0546587094737238,0.00501100633559556,-0.239034115908897,-0.418316215238699,0.103391787710964,-0.00129068750547705,0.0831172004661576,0.0216373851185258,-0.285684853353665,-0.204844252824247,0.0466957154023868
85.89,-0.504032443568854,-0.0912009478055425,0.00831714405253375,-0.212037542358098,-0.470845509722346,0.114513238460806,0.0156775107721659,0.0650398714255744,0.0210861049440712,-0.261923542558299,-0.158340345698406,0.0376638378791506
85.895,-0.523975908480422,-0.130724438028628,0.0122252421354754,-0.1807110872804,-0.523767486968264,0.125363852951809,0.0347212354902301,0.0465144953193143,0.0200870672710272,-0.237625030012106,-0.115236051714667,0.0290407688740575
85.9,-0.542183655536443,-0.173053121677537,0.0168177431118166,-0.144981531527744,-0.576493721914052,0.135782252671162,0.0553503695123698,0.0279557099026993,0.0186678567603594,-0.212985405637173,-0.0758894416246402,0.0209475831819305
85.905,-0.558039056918414,-0.217961471827588,0.02216862467326,-0.104858927260419,-0.62843828882753,0.145612100659338,0.0770463561350171,0.00973108115287941,0.016866011359826,-0.188188976682573,-0.0405821973220532,0.0134913758060153
85.91,-0.570987903788105,-0.265176670210961,0.028340690461573,-0.0604389099649196,-0.679031356199458,0.154705931267992,0.0992812739210334,-0.0078458495586155,0.0147286903533744,-0.163404912885281,-0.00951307036426004,0.00676223986191654
85.915,-0.580557580589974,-0.314381693202027,0.0353830869958879,-0.0119022306767649,-0.727732288030815,0.162928813046065,0.121536288588244,-0.0245202123966704,0.0123121226476485,-0.138784693548654,0.0172057937083789,0.000830943803228747
85.92,-0.586373556118013,-0.365219134969542,0.0433291051532687,0.0404884156179921,-0.774041858968196,0.170161742046236,0.143318756354244,-0.0400981105011253,0.00968082150280566,-0.114460467124695,0.0395496264373882,-0.00425263573903759
85.925,-0.588172634590994,-0.417295627569204,0.0521943212623162,0.0963940798950911,-0.817513232414348,0.176304668061733,0.164177368868076,-0.0544466376588845,0.00690656231829724,-0.0905443691965954,0.057578993080584,-0.00846030501602063
85.93,-0.585812495523742,-0.470186768350819,0.0619751299677132,0.155407487983622,-0.857761406150164,0.181279063559723,0.183714861553845,-0.0674917650015231,0.0040671309951085,-0.0671287842098192,0.071435138224524,-0.0117855809250213
85.935,-0.579277148056124,-0.523442523868402,0.0726477177477334,0.217062853523904,-0.894470895687736,0.185029954596698,0.201597945671152,-0.0792143266711943,0.00124486111635259,-0.0442874835244184,0.0813330175800819,-0.0142429978547584
85.94,-0.568678036680157,-0.576593134025172,0.0841675212159705,0.280847163894172,-0.927401497397448,0.187527345114876,0.217564262244204,-0.0896443951098985,-0.00147501191696317,-0.0220775296362904,0.0875523854491801,-0.0158667609911717
85.945,-0.5542506633812,-0.629155578680505,0.0964692069804145,0.346212491347208,-0.956392047021474,0.18876698102457,0.231426287462878,-0.0988543795025563,-0.00400614312169556,-0.000541804842343843,0.0904273573747379,-0.0167088333770423
