motorPos,motorVel,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,moment,label
106.525,58.5985,-4.15944,6.61194,-2.14839,3.64,17.92,40.67,-0.850394,0
105.858,58.5985,-3.91419,6.24897,-2.03067,3.5,15.75,36.82,-0.850394,0
105.357,54.9703,-3.86514,6.25878,-2.06991,3.29,15.68,34.51,-0.850394,0
104.856,43.9543,-4.18887,6.79833,-2.27592,2.03,16.24,31.43,-0.850394,0
104.522,37.8781,-4.13982,6.45498,-2.18763,0.28,7.14,25.97,-0.850394,0
104.188,28.0862,-4.10058,6.53346,-2.12877,-0.35,6.09,22.4,-0.850394,0
103.854,24.4142,-4.2183,6.7689,-2.18763,-1.05,2.87,13.79,-0.850394,0
103.854,6.14182,-4.11039,6.75909,-2.18763,-1.47,5.18,9.52,-0.850394,0
103.687,3.69388,-3.924,6.66099,-2.23668,-1.82,-2.24,4.97,-0.850394,0
103.687,-7.32208,-3.73761,6.58251,-2.26611,-1.96,8.4,2.17,-0.850394,0
103.687,-4.87414,-3.63951,6.50403,-2.28573,-2.94,-3.29,-1.19,-0.850394,0
103.854,-7.32208,-3.70818,6.64137,-2.33478,-3.85,3.15,-2.94,-0.850394,0
103.854,-8.50234,-3.85533,6.81795,-2.37402,-5.67,3.64,-5.25,-0.850394,0
104.021,-18.2943,-3.924,6.80814,-2.36421,-7.07,7.35,-7.7,-0.850394,0
104.188,-18.2943,-4.13982,7.0632,-2.41326,-7.35,16.03,-9.45,-0.850394,0
104.522,-29.2665,-4.36545,7.21035,-2.46231,-8.54,10.22,-15.96,-0.850394,0
104.856,-29.2665,-4.34583,7.07301,-2.34459,-8.68,-3.43,-18.97,-0.850394,0
105.19,-36.6104,-4.44393,7.38693,-2.33478,-9.17,-2.52,-21.98,-0.850394,0
105.524,-32.9385,-3.96324,6.72966,-2.07972,-9.1,-1.75,-23.59,-0.850394,0
105.858,-34.1624,-4.22811,7.51446,-2.26611,-9.73,-0.28,-23.38,-0.850394,0
106.191,-40.2824,-4.4145,7.63218,-2.29554,-10.22,-1.75,-25.69,-0.850394,0
106.692,-50.0306,-4.55184,7.87743,-2.24649,-10.29,3.99,-28,-0.850394,0
107.193,-53.7025,-4.78728,8.15211,-2.44269,-9.03,7.91,-31.57,-0.850394,0
107.861,-52.4785,-4.43412,7.22997,-2.2563,-7.35,4.48,-35.14,-0.850394,0
108.362,-47.5826,-4.47336,7.24959,-2.3544,-7.49,-6.3,-35.49,-0.850394,0
108.863,-47.5826,-4.59108,7.18092,-2.49174,-11.41,10.64,-34.44,-0.850394,0
109.197,-39.0583,-4.24773,7.02396,-2.16801,-12.04,12.11,-32.27,-0.850394,0
109.531,-45.1346,-4.66956,7.69104,-2.10915,-12.67,4.9,-33.39,-0.850394,0
110.032,-54.9266,-4.88538,7.73028,-1.8639,-11.62,3.08,-36.96,-0.850394,0
110.7,-52.4785,-4.79709,7.39674,-1.65789,-9.1,5.18,-40.32,-0.850394,0
111.201,-58.5548,-4.93443,7.37712,-1.80504,-7.56,-9.8,-42.98,-0.850394,0
111.702,-47.5826,-5.1993,7.21035,-2.06991,-8.54,-2.87,-44.17,-0.850394,0
112.203,-51.2545,-5.30721,6.93567,-2.07972,-10.78,10.22,-43.54,-0.850394,0
112.704,-53.7025,-5.60151,7.40655,-2.24649,-11.83,-0.56,-43.4,-0.850394,0
113.205,-56.1505,-5.80752,7.59294,-2.26611,-12.6,-0.7,-46.62,-0.850394,0
113.873,-58.5548,-5.72904,7.30845,-2.19744,-12.67,-2.59,-47.46,-0.850394,0
114.374,-56.1505,-5.69961,6.91605,-2.13858,-13.44,10.29,-46.97,-0.850394,0
115.042,-53.7025,-5.69961,7.03377,-2.02086,-15.12,9.38,-45.29,-0.850394,0
115.543,-69.5707,-5.9841,7.80876,-2.17782,-16.66,5.6,-44.66,-0.850394,0
