timestamp,motor_angle_L_float,motor_angle_R_float,motor_vel_L_float,motor_vel_R_float
1761533351.2570288,-0.04664340615272522,0.48105427622795105,0.1788962483406067,-0.13138450682163239
1761533351.266853,-0.04386306181550026,0.4782736599445343,0.3752457797527313,-0.40045610070228577
1761533351.2768342,-0.038781486451625824,0.47261708974838257,0.6336514949798584,-0.688435435295105
1761533351.286943,-0.030248451977968216,0.4638925790786743,1.0069580078125,-1.0142302513122559
1761533351.2970045,-0.017976604402065277,0.4521954357624054,1.378810167312622,-1.3177236318588257
1761533351.3070068,-0.002061286708340049,0.43752673268318176,1.7220582962036133,-1.5572216510772705
1761533351.317004,0.016826119273900986,0.4209403097629547,2.0095527172088623,-1.6881211996078491
1761533351.3270018,0.03801476210355759,0.40435361862182617,2.236445426940918,-1.663395881652832
1761533351.3369572,0.061408232897520065,0.3881509602069855,2.4046757221221924,-1.566433072090149
1761533351.3470347,0.08604833483695984,0.3730984926223755,2.498729705810547,-1.440866231918335
1761533351.3568761,0.11145515739917755,0.3592926561832428,2.5593314170837402,-1.3225717544555664
1761533351.3669577,0.13782072067260742,0.34692466259002686,2.6708385944366455,-1.174218773841858
1761533351.3769238,0.16514529287815094,0.3358033001422882,2.7721645832061768,-1.048651933670044
1761533351.386873,0.19294895231723785,0.3261195421218872,2.7692558765411377,-0.9080560207366943
1761533351.3970394,0.2204652726650238,0.31787437200546265,2.74259090423584,-0.777641236782074
1761533351.4070075,0.24788545072078705,0.3108755946159363,2.713987112045288,-0.6554681658744812
1761533351.4170098,0.27453863620758057,0.305027037858963,2.6228418350219727,-0.5332950353622437
1761533351.4270003,0.3000415861606598,0.3000415861606598,2.5205464363098145,-0.4528160095214844
1761533351.4370093,0.324873149394989,0.2960149049758911,2.43764328956604,-0.3684583902359009
1761533351.4470007,0.3484586477279663,0.2928510308265686,2.2694127559661865,-0.2923426628112793
1761533351.4568903,0.3697429299354553,0.29026246070861816,2.0255517959594727,-0.26082977652549744
1761533351.4670076,0.3887261748313904,0.28767386078834534,1.7986587285995483,-0.22446873784065247
1761533351.4770136,0.40560051798820496,0.285564661026001,1.618308186531067,-0.18616846203804016
1761533351.4870183,0.4207485616207123,0.28412654995918274,1.4229282140731812,-0.12071860581636429
1761533351.4970112,0.43397942185401917,0.28297603130340576,1.2294875383377075,-0.13429339230060577
1761533351.5070124,0.44529253244400024,0.2812497913837433,1.0467127561569214,-0.20846989750862122
1761533351.5169063,0.4548804461956024,0.2787570655345917,0.9143586158752441,-0.29913005232810974
1761533351.526909,0.46350908279418945,0.2753056287765503,0.8149717450141907,-0.3985168933868408
1761533351.536869,0.47137072682380676,0.27079954743385315,0.7412801384925842,-0.4620274305343628
1761533351.5469878,0.47846540808677673,0.26600584387779236,0.6763150691986084,-0.530386209487915
1761533351.5567634,0.48469746112823486,0.26044517755508423,0.5846853256225586,-0.5662623643875122
1761533351.5669508,0.4903540313243866,0.2546924948692322,0.5284469723701477,-0.5720801949501038
1761533351.5769448,0.495147705078125,0.24903592467308044,0.4440893530845642,-0.5604446530342102
1761533351.587089,0.49898266792297363,0.24357111752033234,0.34518736600875854,-0.5245684385299683
1761533351.5969174,0.502242386341095,0.2384898066520691,0.31900742650032043,-0.5012973546981812
1761533351.6070535,0.5048314929008484,0.23350438475608826,0.22543837130069733,-0.47851109504699707
1761533351.6169627,0.5065572261810303,0.22871041297912598,0.13235414028167725,-0.48142001032829285
1761533351.6270502,0.5077077150344849,0.22372497618198395,0.08096388727426529,-0.495964378118515
1761533351.637059,0.5082829594612122,0.21873952448368073,0.048966184258461,-0.5022670030593872
1761533351.6470041,0.508666455745697,0.21346648037433624,0.0383002795279026,-0.5357191562652588
1761533351.65692,0.5090499520301819,0.20790526270866394,0.024725498631596565,-0.5778979063034058
1761533351.6670613,0.5090499520301819,0.20196110010147095,-0.01018108706921339,-0.6011689305305481
1761533351.6770473,0.5089540481567383,0.19592104852199554,-0.0019392548128962517,-0.6137741804122925
1761533351.6870055,0.5089540481567383,0.1895933747291565,-0.0072722053155303,-0.6254096627235413
1761533351.6970594,0.5087623000144958,0.18326543271541595,-0.024725498631596565,-0.6254096627235413
1761533351.7069888,0.5084747076034546,0.17703363299369812,-0.04072434827685356,-0.60941082239151
1761533351.716925,0.5078036189079285,0.1709935963153839,-0.08047907799482346,-0.603108286857605
1761533351.7270038,0.5065572261810303,0.1649535447359085,-0.15417075157165527,-0.6128044724464417
1761533351.7368028,0.5043520927429199,0.15891295671463013,-0.2506486773490906,-0.6147437691688538
1761533351.7468257,0.5016670823097229,0.15248940885066986,-0.29767560958862305,-0.651589572429657
1761533351.7570512,0.49898266792297363,0.14568237960338593,-0.2462853491306305,-0.6995861530303955
1761533351.7668474,0.49677756428718567,0.13820421695709229,-0.20022805035114288,-0.7664905190467834
1761533351.7768466,0.49533945322036743,0.13015055656433105,-0.11296159029006958,-0.8140022158622742
1761533351.7868774,0.4945724606513977,0.12171366065740585,-0.03393695876002312,-0.858120322227478
1761533351.7970428,0.49476420879364014,0.11308501660823822,0.03587621450424194,-0.8707253932952881
