timestamp,hip_angle_l,hip_angle_r,hip_angle_l_velocity,hip_angle_r_velocity,motor_torque_L_float,motor_torque_R_float,torque_L,torque_R
1762220177.4019344,0.5706973075866699,0.08374682813882828,-0.31222003698349,-1.3841431140899658,0.0,0.0,-0.029999999329447746,0.15000000596046448
1762220177.4118345,0.5675334930419922,0.06994099915027618,-0.3165833652019501,-1.3739619255065918,0.0,0.0,-0.029999999329447746,0.10000000149011612
1762220177.4218493,0.5645614266395569,0.056422531604766846,-0.2651931047439575,-1.3395402431488037,0.0,0.0,-0.019999999552965164,0.0
1762220177.4319274,0.5620687007904053,0.04309607297182083,-0.23998276889324188,-1.3274199962615967,0.0,0.0,-0.05999999865889549,-0.029999999329447746
1762220177.441963,0.5597677230834961,0.02996082790195942,-0.21719655394554138,-1.3017247915267944,0.0,0.0,0.07999999821186066,-0.05999999865889549
1762220177.4518409,0.5576584935188293,0.016921991482377052,-0.1881076991558075,-1.2876652479171753,0.0,0.0,0.07999999821186066,-0.10000000149011612
1762220177.4619317,0.5558368563652039,0.003882888937368989,-0.18907733261585236,-1.3099665641784668,0.0,0.0,0.009999999776482582,-0.07999999821186066
1762220177.4719555,0.5540152788162231,-0.009347962215542793,-0.17986588180065155,-1.3385705947875977,0.0,0.0,-0.07999999821186066,-0.10000000149011612
1762220177.4818234,0.5526730418205261,-0.022962043061852455,-0.0964779183268547,-1.3855974674224854,0.0,0.0,-0.17000000178813934,-0.07999999821186066
1762220177.4917145,0.5522895455360413,-0.037151630967855453,-0.0019392548128962517,-1.4345637559890747,0.0,0.0,-0.15000000596046448,-0.009999999776482582
1762220177.501909,0.5524812936782837,-0.05143709108233452,0.030058447271585464,-1.4360182285308838,0.0,0.0,-0.10000000149011612,0.05999999865889549
1762220177.511859,0.5527689456939697,-0.06572255492210388,0.02036217413842678,-1.4064445495605469,0.0,0.0,-0.05000000074505806,0.10999999940395355
1762220177.5221338,0.553056538105011,-0.07952838391065598,0.03442177176475525,-1.3405098915100098,0.0,0.0,-0.029999999329447746,0.05999999865889549
1762220177.532098,0.5537276864051819,-0.09228013455867767,0.08484239876270294,-1.2120342254638672,0.0,0.0,-0.019999999552965164,0.05999999865889549
1762220177.5420988,0.554686427116394,-0.10378498584032059,0.09599311649799347,-1.1048904657363892,0.0,0.0,0.019999999552965164,0.12999999523162842
1762220177.552088,0.555741012096405,-0.11404348909854889,0.1270211786031723,-0.9749603271484375,0.0,0.0,0.029999999329447746,0.20000000298023224
